Country,Unemployment_Rate
Afghanistan,11.184
Africa Western and Central,7.23981091529082
Albania,15.409
Arab World,9.67881987563812
United Arab Emirates,2.051
Argentina,8.347
Armenia,17.860666666666667
Australia,5.790666666666667
Austria,5.809
Azerbaijan,4.986666666666667
Belgium,7.8006666666666655
Bangladesh,4.361
Bulgaria,7.627333333333333
"Bahamas, The",11.5
Bosnia and Herzegovina,24.543333333333333
Belarus,4.164000000000001
Belize,7.058
Bolivia,3.421333333333333
Brazil,10.97
Barbados,8.89
Brunei Darussalam,9.316
Bhutan,2.45
Canada,6.803
Central Europe and the Baltics,6.522688168417716
Switzerland,4.838666666666668
Chile,6.929333333333333
China,3.9
Cote d'Ivoire,2.5839999999999996
Colombia,8.86
Cabo Verde,21.7765
Costa Rica,8.076333333333332
Caribbean small states,6.17718768376805
Cuba,2.0333333333333337
Curacao,11.71
Cayman Islands,4.24
Cyprus,13.062333333333333
Czechia,3.9643333333333337
Germany,4.1656666666666675
Djibouti,26.064
Denmark,6.033333333333334
Dominican Republic,6.907
Algeria,11.136000000000001
East Asia & Pacific (excluding high income),3.52925156009553
East Asia & Pacific,3.52233916633326
Europe & Central Asia (excluding high income),8.938226269400802
Europe & Central Asia,8.025696238141292
Ecuador,4.016333333333334
"Egypt, Arab Rep.",12.423
Euro area,9.99416717359553
Spain,19.638666666666666
Estonia,6.367
European Union,9.085690464991272
Finland,8.944666666666667
Fiji,4.319
France,9.94
United Kingdom,4.987333333333333
Georgia,15.683
Ghana,5.0875
Greece,23.302666666666667
Grenada,22.9
Greenland,9.1
Guatemala,2.517
Guam,6.15
High income,6.1052595288933444
"Hong Kong SAR, China",3.276666666666667
Honduras,6.134
Croatia,13.414333333333332
Hungary,5.3613333333333335
IBRD only,5.61563617160333
IDA blend,4.367833127430815
Indonesia,4.199333333333334
Isle of Man,2.67
Ireland,8.331666666666667
"Iran, Islamic Rep.",12.005333333333333
Iraq,11.92
Iceland,3.2330000000000005
Israel,4.679666666666667
Italy,11.598333333333334
Jamaica,9.848
Jordan,15.49
Japan,3.1129999999999995
Kazakhstan,4.930000000000001
Kenya,2.757
Kyrgyz Republic,3.8426666666666662
Cambodia,0.4166666666666667
Kiribati,9.334
"Korea, Rep.",3.6163333333333334
Kuwait,2.18
Latin America & Caribbean (excluding high income),7.450550670930247
Lao PDR,2.6369999999999996
Liberia,4.506
St. Lucia,18.894
Latin America & Caribbean,7.351440295839743
Sri Lanka,4.268999999999999
Late-demographic dividend,4.8845037008598
Lithuania,8.018333333333333
Luxembourg,6.3293333333333335
Latvia,9.410333333333332
"Macao SAR, China",1.9100000000000001
Morocco,9.38
Monaco,6.33
Moldova,1.6646666666666665
Madagascar,1.785
Maldives,5.771
"Middle East, North Africa, Afghanistan & Pakistan",7.63983585362864
Mexico,3.861
North Macedonia,24.52133333333333
Mali,5.503333333333333
Malta,4.697
Myanmar,1.061
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",8.164242650736309
Montenegro,17.123
Mongolia,6.151666666666666
Mozambique,3.426
Mauritania,10.336
Mauritius,6.992
Malawi,3.77
Malaysia,3.3166666666666664
North America,5.047921742219743
Namibia,23.352
New Caledonia,11.676
Niger,7.769
Nigeria,6.586666666666666
Nicaragua,3.9666666666666663
Netherlands,5.905333333333334
Norway,4.38
Nepal,6.88
New Zealand,5.096333333333333
OECD members,6.405727179518682
Oman,3.266
Other small states,9.61100791731975
Pakistan,2.9255
Panama,4.902
Peru,3.568
Philippines,2.7716666666666665
Poland,6.1610000000000005
Puerto Rico (US),11.533333333333333
Portugal,10.780333333333333
Paraguay,5.316333333333334
West Bank and Gaza,24.207000000000004
Post-demographic dividend,6.367597978265256
Qatar,0.15333333333333335
Romania,5.88
Russian Federation,5.481333333333333
Rwanda,11.875
Saudi Arabia,5.696666666666666
Senegal,5.096666666666667
Singapore,4.023333333333333
El Salvador,4.267
San Marino,7.239999999999999
Serbia,15.464666666666668
Sao Tome and Principe,8.808
Suriname,7.5685
Slovak Republic,9.770999999999999
Slovenia,7.842
Sweden,7.046666666666667
Eswatini,22.718
Seychelles,3.9436666666666667
East Asia & Pacific (IDA & IBRD countries),3.52925156009553
Europe & Central Asia (IDA & IBRD countries),7.338791139517504
Togo,2.974
Thailand,0.705
Tajikistan,0.081
Latin America & the Caribbean (IDA & IBRD countries),7.431855149270793
Timor-Leste,4.1675
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",8.057500845079865
Tonga,1.054
Trinidad and Tobago,2.8175
Tunisia,15.348666666666666
Turkiye,10.707666666666668
Tuvalu,17.521
Uganda,3.428
Ukraine,9.33
Upper middle income,5.68096786596627
Uruguay,7.739666666666667
United States,4.834666666666667
Uzbekistan,5.38
"Venezuela, RB",5.182
Viet Nam,1.8566666666666667
World,5.63258420913338
Samoa,9.4
Kosovo,30.225000000000005
South Africa,26.24
Zambia,8.2085
